"By Administrative District","Item","UNIT","2020.01 Month","2020.02 Month","2020.03 Month","2020.04 Month","2020.05 Month","2020.06 Month","2020.07 Month","2020.08 Month","2020.09 Month","2020.10 Month","2020.11 Month","2020.12 Month","2021.01 Month","2021.02 Month","2021.03 Month","2021.04 Month","2021.05 Month","2021.06 Month","2021.07 Month","2021.08 Month","2021.09 Month","2021.10 Month","2021.11 Month","2021.12 Month","2022.01 Month","2022.02 Month","2022.03 Month","2022.04 Month","2022.05 Month","2022.06 Month","2022.07 Month","2022.08 Month","2022.09 Month","2022.10 Month","2022.11 Month","2022.12 Month","2023.01 Month","2023.02 Month","2023.03 Month","2023.04 Month","2023.05 Month","2023.06 Month","2023.07 Month","2023.08 Month","2023.09 Month","2023.10 Month","2023.11 Month","2023.12 Month","2024.01 Month","2024.02 Month","2024.03 Month","2024.04 Month","2024.05 Month","2024.06 Month","2024.07 Month","2024.08 Month","2024.09 Month","2024.10 Month","2024.11 Month","2024.12 Month","2025.01 Month","2025.02 Month","2025.03 Month","2025.04 Month","2025.05 Month","2025.06 Month","2025.07 Month","2025.08 Month","2025.09 Month","2025.10 Month","2025.11 Month",
"Hoja branch office","Household[Household]","Household","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","",
"Gunsan-si","Household[Household]","Household","118329","118508","118611","118686","119042","119323","119708","119972","120338","120585","120851","121220","121451","121629","121504","121707","121336","121449","121541","121639","121689","121805","122099","122250","122369","122505","122594","122677","122683","122753","122904","123040","122870","123027","123085","123176","123275","123427","123513","123571","123615","123670","123718","123882","124016","124040","124024","123996","123927","124083","124251","124325","124466","124630","124754","124776","124815","124940","125060","125189","125182","125311","125302","125340","125417","125534","125696","125785","125930","126051","126090",
"Iksan-si","Household[Household]","Household","126750","126684","126805","126932","127217","127407","127577","127784","127974","128099","128385","128400","128362","128461","128838","129084","129257","129453","129694","129864","129974","129982","130035","129962","129840","129975","130220","130243","130352","130431","130427","130423","130147","130202","130186","130068","129966","130079","130334","130405","130467","130458","130419","130325","130324","130325","130288","130197","130005","129958","130178","130191","130232","130247","130245","130255","130486","130814","131033","131084","130985","131168","131670","131967","132184","132259","132314","132436","132661","132589","132621",
"Iksan-si hamyeol branch office","Household[Household]","Household","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","",
"Jeongeup-si","Household[Household]","Household","53603","53661","53765","53828","53913","53998","54075","54124","54150","54176","54254","54335","54416","54475","54098","54136","54180","54196","54231","54241","54266","54273","54259","54242","54350","54410","54423","54391","54410","54465","54502","54548","54454","54482","54490","54528","54485","54645","54706","54724","54744","54758","54793","54789","54769","54716","54694","54734","54746","54799","54738","54737","54728","54691","54643","54633","54607","54544","54505","54514","54487","54440","54432","54432","54427","54399","54356","54322","54321","54285","54234",
"Namwon-si","Household[Household]","Household","38581","38696","38750","38827","38947","39051","39125","39215","39245","39301","39357","39457","39545","39568","39582","39650","39589","39607","39601","39626","39619","39631","39644","39670","39692","39729","39743","39773","39772","39835","39854","39822","39790","39773","39787","39799","39770","39832","39866","39923","39936","39915","39927","39917","39868","39857","39839","39839","39853","39864","39914","39927","39959","39947","39926","39886","39850","39826","39842","39901","39918","39934","39979","39953","39931","39932","39942","39909","39907","39872","39822",
"Gimje-si","Household[Household]","Household","41894","41947","41984","42005","42173","42264","42299","42325","42344","42354","42413","42459","42501","42545","42564","42641","42367","42310","42349","42388","42398","42421","42450","42509","42586","42633","42701","42743","42835","42912","42962","43061","43038","43080","43144","43215","43401","43491","43645","43688","43712","43776","43751","43713","43701","43656","43642","43625","43674","43711","43747","43789","43799","43823","43803","43777","43706","43704","43707","43768","43926","44027","44080","44089","44115","44186","44165","44200","44300","44364","44424",
"Wanju-gun","Household[Household]","Household","41835","41996","42195","42259","42389","42551","42647","42756","42916","42926","43047","43275","43295","43393","43351","43475","43541","43575","43726","43800","43869","43907","43965","44020","44035","44122","44189","44299","44397","44455","44714","44895","44870","44913","44999","45356","45710","46061","46533","46882","47140","47422","47816","48151","48269","48374","48523","48652","48893","49116","49257","49349","49400","49402","49405","49420","49450","49506","49498","49553","49640","49744","49822","49915","49965","50026","50157","50211","50254","50270","50275",
"Jinan-gun","Household[Household]","Household","13148","13167","13203","13201","13271","13291","13306","13333","13360","13372","13382","13406","13412","13434","13432","13477","13479","13500","13467","13456","13473","13457","13483","13494","13511","13546","13593","13594","13597","13586","13583","13587","13556","13539","13509","13513","13490","13528","13565","13578","13591","13590","13604","13609","13591","13595","13575","13593","13607","13629","13654","13691","13688","13698","13705","13686","13674","13679","13693","13681","13695","13728","13741","13737","13738","13759","13741","13762","13770","13781","13803",
"Muju-gun","Household[Household]","Household","12441","12444","12465","12473","12509","12536","12548","12565","12603","12632","12647","12674","12708","12713","12700","12728","12749","12743","12748","12776","12776","12795","12804","12823","12830","12861","12911","12922","12954","12952","12964","12962","12952","12945","12949","12932","12915","12920","12963","12993","13010","13026","13037","13031","13031","13024","13022","13008","13009","12985","13014","13030","13029","13028","13041","13029","13040","13049","13036","13018","13015","13007","13037","13056","13034","13030","13020","13011","13004","13010","13000",
"Jangsu-gun","Household[Household]","Household","11299","11298","11324","11372","11390","11432","11439","11451","11468","11495","11515","11554","11572","11568","11528","11529","11551","11557","11557","11561","11566","11581","11581","11584","11584","11591","11603","11602","11614","11611","11621","11614","11611","11611","11599","11611","11590","11564","11569","11560","11552","11554","11549","11554","11551","11547","11544","11542","11532","11541","11544","11553","11550","11549","11536","11539","11547","11548","11531","11510","11494","11503","11502","11517","11536","11526","11513","11491","11512","11510","11539",
"Imsil-gun","Household[Household]","Household","14682","14639","14658","14646","14697","14767","14771","14789","14805","14819","14802","14801","14782","14791","14777","14815","14845","14872","14868","14851","14825","14829","14836","14899","14879","14911","14921","14970","15048","14987","14967","14961","14942","14951","14956","14992","15000","15013","15024","15021","15010","15032","15021","14994","14963","14962","14931","14916","14926","14933","14957","14948","14961","14984","14976","14982","14948","14902","14910","14909","14899","14898","14915","14902","14881","14863","14835","14813","14819","14802","14792",
"Sunchang-gun","Household[Household]","Household","13816","13861","13869","13885","13915","13958","13971","13992","14018","14050","14046","14097","14083","14091","14039","14043","14051","14040","14043","14018","14002","14007","14016","13996","13971","13980","13986","14015","14058","14079","14081","14090","14079","14106","14124","14132","14139","14191","14226","14266","14299","14316","14324","14329","14338","14339","14330","14332","14327","14360","14370","14378","14369","14390","14429","14444","14445","14454","14445","14516","14497","14532","14551","14578","14605","14621","14620","14631","14647","14768","14971",
"Gochang-gun","Household[Household]","Household","28806","28827","28836","28835","28897","28973","29007","28995","29000","29019","29014","29057","29082","29113","29112","29085","28905","28876","28863","28809","28762","28758","28765","28757","28789","28798","28767","28731","28771","28773","28778","28735","28693","28672","28619","28592","28657","28653","28711","28724","28729","28715","28696","28693","28674","28682","28720","28733","28756","28776","28782","28749","28717","28693","28690","28671","28644","28657","28636","28600","28559","28540","28521","28506","28515","28495","28441","28460","28507","28483","28456",
"Buan-gun","Household[Household]","Household","27455","27463","27474","27485","27542","27629","27682","27720","27743","27786","27811","27819","27806","27845","27765","27763","27705","27689","27696","27650","27597","27564","27553","27588","27610","27641","27662","27697","27731","27754","27764","27766","27770","27769","27732","27694","27710","27805","27859","27844","27842","27838","27814","27767","27767","27702","27650","27632","27615","27644","27653","27622","27623","27593","27553","27528","27514","27480","27443","27434","27399","27397","27390","27405","27388","27369","27341","27319","27306","27284","27280",
